"artist","caption","date","day_num","description","image_filepath","image_url","location","medium","mystery_name","mystery_type","original_title","original_title_ISO_code","original_title_language","style","subject","title"
"Fra Angelico","Fra Angelico’s Annunciation (mid-1430s)","mid-1430s","129","Fra Angelico's delicate Annunciation depicts the moment when Archangel Gabriel announces to Mary that she will bear the Son of God, set within Renaissance architecture.","May/jpgs/Annunciation.jpg","https://4.bp.blogspot.com/-ujfCtTV6yhs/VI1NW92kIBI/AAAAAAAAJBo/aFOIoUu7aqs/s1600/Annunciation_Prado_ca.+1426.jpg","Museo del Prado, Madrid","Tempera on panel","The Annunciation","Joyful","Annunciazione","it","Italian","Early Renaissance","Biblical scene of Angel Gabriel announcing to Virgin Mary","The Annunciation"
"Rembrandt van Rijn","Rembrandt's The Visitation","1640","130","Rembrandt's dramatic Visitation shows Mary and Elizabeth embracing, with deep chiaroscuro highlighting their spiritual connection and miraculous pregnancies.","May/jpgs/TheVisitation.jpg","https://live.staticflickr.com/65535/48379549666_845e30610d_z.jpg","Detroit Institute of Arts","Oil on panel","The Visitation","Joyful","Het Bezoek","nl","Dutch","Dutch Golden Age","Mary visiting her cousin Elizabeth","The Visitation"
"Giovanni Antonio Pellegrini","Giovanni Antonio Pellegrini's The Nativity","18th century","131","Pellegrini's Nativity depicts the newborn Christ surrounded by Mary, Joseph, and adoring angels in a softly lit stable setting.","May/jpgs/Nativity.jpg","https://thumbs.dreamstime.com/z/vienna-nativity-paint-presbytery-salesianerkirche-church-giovanni-antonio-pellegrini-austria-december-48772274.jpg","Salesianerkirche, Vienna","Oil on canvas","The Nativity","Joyful","Natività","it","Italian","Rococo","Birth of Jesus Christ in Bethlehem","The Nativity"
"Giulio Campi","Fresco of Presentation in the Temple in Chiesa di Santa Rita by Giulio Campi (1547)","1547","132","Campi's fresco shows Mary and Joseph presenting the infant Jesus to Simeon in the Temple, fulfilling Jewish purification rituals.","May/jpgs/PresentationinTemple.jpg","https://stock.adobe.com/in/images/cremona-italy-may-24-2016-the-fresco-of-presentation-in-the-temple-in-chiesa-di-santa-rita-by-giulio-campi-1547/113785168","Chiesa di Santa Rita, Cremona, Italy","Fresco","The Presentation of Jesus in the Temple","Joyful","Presentazione di Gesù al Tempio","it","Italian","Mannerism","Presentation of infant Jesus at the Temple","The Presentation of Jesus in the Temple"
"Unknown mosaicist","Finding of Jesus in the Temple mosaic from Lourdes Basilica, France","20th century","133","This mosaic depicts Mary and Joseph finding young Jesus discussing theology with Temple elders, showing his divine wisdom.","May/jpgs/LostandFound.jpg","https://thumbs.dreamstime.com/b/mosaic-jesus-lost-found-temple-rosary-basilica-lourdes-78705042.jpg","Rosary Basilica, Lourdes, France","Mosaic","The Finding of Jesus in the Temple","Joyful","","","","Byzantine Revival","Twelve-year-old Jesus teaching in the Temple","The Finding of Jesus in the Temple"
"Unknown","An unknown artist’s fresco, Baptism of Christ, in Padua’s church of San Benedetto","","134","This fresco depicts John the Baptist baptizing Jesus in the Jordan River, with the Holy Spirit descending as a dove.","May/jpgs/BaptismofChrist.jpg","https://www.istockphoto.com/vector/padua-baptism-of-christ-in-church-san-benedetto-vecchio-gm517403261-48689476","Church of San Benedetto Vecchio, Padua, Italy","Fresco","The Baptism of Jesus in the Jordan","Luminous","Battesimo di Cristo","it","Italian","Renaissance","Baptism of Jesus by John the Baptist","The Baptism of Christ"
"Carl Bloch","Carl Bloch’s The Wedding at Cana","19th century","135","Bloch's painting shows Jesus performing his first miracle, transforming water into wine at a wedding celebration in Cana.","May/jpgs/WeddingatCana.jpg","https://carlbloch.org/media//b/a/base_41135642.jpg?width=600","","Oil on canvas","The Wedding at Cana","Luminous","Brylluppet i Kana","da","Danish","Danish Golden Age","Jesus turning water into wine at wedding feast","The Wedding at Cana"
"James Tissot","James Tissot’s Healing of the Lepers at Capernaum","1894","136","Tissot's work depicts Jesus healing lepers while teaching about the Kingdom of God, showing his compassion and authority.","May/jpgs/healingofthelepers.jpg","https://www.alamy.com/healing-of-the-lepers-at-capernaum-1894-by-james-tissot-image557924107.html","","Gouache on paper","The Proclamation of the Kingdom of God","Luminous","","","","Realism","Jesus healing lepers and proclaiming God's kingdom","Healing of the Lepers at Capernaum"
"","Transfiguration in Vienna’s Votive Church","","137","This artwork depicts Jesus transfigured in divine light before Peter, James, and John, with Moses and Elijah appearing.","May/jpgs/Transfiguration.jpg","https://in.pinterest.com/pin/305822630958390299/","Votive Church, Vienna, Austria","","The Transfiguration","Luminous","Verklärung Christi","de","German","","Transfiguration of Jesus before disciples","The Transfiguration"
"Giacomo Raffaelli","Giacomo Raffaelli (1753-1836) , an Italian mosaicist, created a life-sized mosaic copy of Leonardo da Vinci's The Last Supper","early 19th century","138","Raffaelli's mosaic reproduces Leonardo's masterpiece showing Jesus instituting the Eucharist during his final meal with apostles.","May/jpgs/LastSupperMosaic.jpg","https://www.istockphoto.com/photo/vienna-mosaic-of-last-supper-by-giacomo-raffaelli-gm160585076-22954759","Vienna, Austria","Mosaic","The Institution of the Eucharist","Luminous","L'Ultima Cena","it","Italian","Neoclassical","Institution of the Eucharist at Last Supper","The Last Supper"
"Vicente Juan Masip","Agony in the Garden by Vicente Masip, also known as Vicente Juan Masip","c. 1550","139","Christ kneels in prayer at Gethsemane while angels bring him the chalice of suffering. The apostles sleep in the foreground as Judas approaches with soldiers.","May/jpgs/AgonyintheGarden.jpg","https://www.museodelprado.es/en/the-collection/art-work/agony-in-the-garden/323edcfd-701e-403f-b27a-9c9d5c656e58","Museo del Prado, Madrid","Oil on panel","The Agony in the Garden","Sorrowful","La Oración en el Huerto","es","Spanish","Renaissance","Christ praying in Gethsemane with sleeping apostles","Agony in the Garden"
"Giovanni Antonio Bazzi (Sodoma)","Giovanni Antonio Bazzi known as Sodoma, Christ at the Column (c. 1510-1515; detached fresco, 140 x 101 cm; Siena, Pinacoteca Nazionale)","c. 1510-1515","140","Christ stands bound to a column, his body marked with wounds from the scourging. The composition emphasizes his patient suffering and divine acceptance of punishment.","May/jpgs/Colonna.jpg","https://cdn.finestresullarte.info/rivista/immagini/2022/2055/giovanni-antonio-bazzi-sodoma-cristo-alla-colonna.jpg","Pinacoteca Nazionale, Siena","Detached fresco","The Scourging at the Pillar","Sorrowful","Cristo alla Colonna","it","Italian","High Renaissance","Christ bound to the column during his flagellation","Christ at the Column"
"Titian (Tiziano Vecellio)","Titian's Christ Crowned with Thorns (c. 1542–1543)","c. 1542–1543","141","Soldiers violently press the crown of thorns onto Christ's head as he endures the mockery with serene dignity. Dramatic lighting emphasizes his suffering.","May/jpgs/CrowningwithThorns.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Titian_-_Crowning_with_Thorns_-_WGA22806.jpg/960px-Titian_-_Crowning_with_Thorns_-_WGA22806.jpg","Louvre Museum, Paris","Oil on canvas","The Crowning with Thorns","Sorrowful","Cristo coronato di spine","it","Italian","Venetian Renaissance","Roman soldiers pressing the crown of thorns onto Christ's head","Christ Crowned with Thorns"
"Pieter Bruegel the Elder","Pieter Bruegel the Elder's The Procession to Calvary (1564)","1564","142","Christ falls under the weight of the cross amidst a vast crowd. The painting contrasts his solitary suffering with the indifferent daily life continuing around him.","May/jpgs/Calvary.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Pieter_Bruegel_d._%C3%84._007.jpg/960px-Pieter_Bruegel_d._%C3%84._007.jpg","Kunsthistorisches Museum, Vienna","Oil on panel","The Carrying of the Cross","Sorrowful","De Kruisdraging","nl","Dutch","Northern Renaissance","Christ carrying the cross through a crowded landscape to Golgotha","The Procession to Calvary"
"Pietro Gagliardi","The fresco of Crucifixion in the church San Girolamo dei Croati by Pietro Gagliardi (1847-1852)","1847-1852","143","Christ hangs on the cross surrounded by the grieving Virgin Mary, John the Evangelist, and Mary Magdalene. The composition emphasizes the theological significance of the sacrifice.","May/jpgs/Crucifixion.jpg","https://c7.alamy.com/comp/2GRFXKA/rome-italy-august-28-2021-the-fresco-of-crucifixion-in-the-church-san-girolamo-dei-croati-by-pietro-gagliardi-1847-1852-2GRFXKA.jpg","San Girolamo dei Croati, Rome","Fresco","The Crucifixion","Sorrowful","Crocifissione","it","Italian","Academic Art","Christ crucified with Mary, John, and Mary Magdalene at the foot of the cross","Crucifixion"
"Annibale Carracci","Resurrection (1593) by Annibale Carracci","1593","144","Christ emerges gloriously from the tomb, holding the banner of resurrection. Roman soldiers recoil in awe and fear at the miraculous event.","May/jpgs/Resurrection.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Annibale_Carracci%2C_Resurrezione%2C_Louvre.jpg/960px-Annibale_Carracci%2C_Resurrezione%2C_Louvre.jpg","Louvre Museum, Paris","Oil on canvas","The Resurrection","Glorious","Resurrezione","it","Italian","Baroque","Christ rising triumphantly from the tomb surrounded by astonished soldiers","Resurrection"
"Byzantine mosaicists","Crossing (Ascension) cupola 1175-1200 Mosaic Basilica di San Marco (Cupola of St. Mark), Venice","1175-1200","145","Christ rises to heaven in a mandorla of light, supported by angels. The Virgin Mary stands centrally below, surrounded by astonished apostles witnessing the event.","May/jpgs/Ascension.jpg","https://www.wga.hu/art/zgothic/mosaics/6sanmarc/2cucros1.jpg","Basilica di San Marco, Venice","Mosaic","The Ascension","Glorious","L'Ascensione","it","Italian","Byzantine","Christ ascending into heaven surrounded by angels and the Virgin Mary","The Ascension"
"Jean Restout II","“Pentecost” by Jean Restout II (1692–1768)","1732","146","The Holy Spirit descends as tongues of fire upon the Virgin Mary and apostles gathered in the upper room. Dramatic lighting emphasizes the divine intervention.","May/jpgs/Pentecost.jpg","https://www.catholicdigest.com/wp-content/uploads/2018/05/Jean_II_Restout_-_Pentec%C3%B4te.jpg","Louvre Museum, Paris","Oil on canvas","The Descent of the Holy Spirit","Glorious","La Pentecôte","fr","French","French Baroque","The descent of the Holy Spirit upon the Virgin Mary and apostles","Pentecost"
"Giuseppe and Andrea Orazi","The Assumption of Virgin Mary in the main cupola in Chiesa di Santa Maria del Orto by Giuseppe and Andrea Orazi 1706","1706","147","The Virgin Mary rises to heaven surrounded by angels and putti. The composition creates a dynamic upward movement celebrating her glorious assumption.","May/jpgs/Assumption.jpg","https://www.dreamstime.com/stock-photo-rome-italy-fresco-assumption-virgin-mary-main-cupola-chiesa-di-santa-maria-del-orto-march-giuseppe-image68702725","Chiesa di Santa Maria del Orto, Rome","Fresco","The Assumption of Mary","Glorious","Assunzione della Vergine Maria","it","Italian","Baroque","The Virgin Mary being assumed body and soul into heaven","The Assumption of the Virgin Mary"
"Diego Velázquez","Coronation of the Virgin, a painting on oil on canvas by Diego Velázquez of the Holy Trinity crowning the Blessed Virgin Mary, at the Museo del Prado","c. 1641-1644","148","God the Father and Christ place a crown upon the Virgin Mary's head while the Holy Spirit hovers above. Angels witness her coronation as Queen of Heaven.","May/jpgs/Coronation.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Diego_Vel%C3%A1zquez_-_Coronation_of_the_Virgin_-_Prado.jpg/960px-Diego_Vel%C3%A1zquez_-_Coronation_of_the_Virgin_-_Prado.jpg","Museo del Prado, Madrid","Oil on canvas","The Coronation of Mary","Glorious","Coronación de la Virgen","es","Spanish","Baroque","The Holy Trinity crowning the Virgin Mary as Queen of Heaven","Coronation of the Virgin"
"Henry Ossawa Tanner","The Annunciation, an 1898 painting by African-American painter Henry Ossawa Tanner","1898","149","A groundbreaking depiction of the Annunciation showing Mary as an ordinary young woman in a humble Middle Eastern setting, illuminated by divine light.","May/jpgs/HenryTannerAnnunciation.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/The_Annunciation%2C_Philadelphia_Museum_of_Art%2C_W1899-1-1-pma%2C_by_Henry_Ossawa_Tanner.jpg/960px-The_Annunciation%2C_Philadelphia_Museum_of_Art%2C_W1899-1-1-pma%2C_by_Henry_Ossawa_Tanner.jpg","Philadelphia Museum of Art","Oil on canvas","The Annunciation","Joyful","","","","Realism with Symbolist elements","Annunciation to the Virgin Mary","The Annunciation"
"Federico Maldarelli","The painting of Visitation in the church Chiesa dei Santi Severino e Sossio by Federico Maldarelli (1889)","1889","150","A traditional academic depiction of the meeting between Virgin Mary and her cousin Elizabeth, both pregnant with Jesus and John the Baptist.","May/jpgs/MaldarelliVisitation.jpg","https://stock.adobe.com/nz/images/naples-italy-april-21-2023-the-painting-of-visitation-in-the-church-chiesa-dei-santi-severino-e-sossio-by-federico-maldarelli-1889/614877275","Chiesa dei Santi Severino e Sossio, Naples, Italy","Oil painting","The Visitation","Joyful","La Visitazione","it","Italian","Academic art","Visitation of Mary to Elizabeth","The Visitation"
"Gerard van Honthorst","Gerard van Honthorst - Adoration of the Shepherds (1622)","1622","151","A dramatic Baroque night scene illuminated by divine light, showing shepherds worshiping the newborn Jesus in a humble stable setting.","May/jpgs/AdorationShepherds.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Gerard_van_Honthorst_-_Adoration_of_the_Shepherds_%281622%29.jpg/960px-Gerard_van_Honthorst_-_Adoration_of_the_Shepherds_%281622%29.jpg","Wallraf-Richartz Museum, Cologne","Oil on canvas","The Nativity","Joyful","Aanbidding door de herders","nl","Dutch","Baroque, Utrecht Caravaggism","Nativity scene with shepherds adoring Christ child","Adoration of the Shepherds"
"Unknown Baroque artist","The painting of Presentation of Jesus in the Temple in church kostel Svatého Havla by unknown baroque artist","18th century","152","A Baroque depiction of Mary and Joseph presenting the infant Jesus to Simeon in the Temple, fulfilling Jewish purification laws.","June/jpgs/PraguePresentation.jpg","https://as2.ftcdn.net/jpg/02/34/87/33/1000_F_234873301_FgABd7WONbY9DLBAR8ugRz4iDElboWDu.jpg","Church of St. Gall (kostel Svatého Havla), Prague","Oil painting","The Presentation of Jesus in the Temple","Joyful","Prezentace Ježíše v chrámu","cs","Czech","Baroque","Presentation of infant Jesus in the Temple","Presentation of Jesus in the Temple"
"Unknown","Jesus, at 12, teaching in the Temple","","153","Depiction of the young Jesus astonishing Temple scholars with his wisdom, showing his divine understanding even as a child.","June/jpgs/BrusselsFindingJesus.jpg","https://thumbs.dreamstime.com/b/brussels-jesus-age-12-teaching-temple-27777664.jpg","","","The Finding of Jesus in the Temple","Joyful","","","","","Twelve-year-old Jesus teaching scholars in the Temple","Jesus Teaching in the Temple"
"Andrea del Verrocchio and Leonardo da Vinci","The Baptism of Christ by Leonardo Da Vinci created in the studio of Andrea del Verrochio around 1475","c. 1475","154","Collaborative work showing John baptizing Jesus in the Jordan River, with angels witnessing and the Holy Spirit descending as a dove.","June/jpgs/Baptism.jpg","https://reconquest.net/wp-content/uploads/2017/12/the_baptism_of_christ_verrocchio__leonardo.jpg","Uffizi Gallery, Florence","Tempera and oil on wood","The Baptism of Jesus in the Jordan","Luminous","Battesimo di Cristo","it","Italian","Early Renaissance","Baptism of Jesus by John the Baptist","The Baptism of Christ"
